"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
2,2021-08-03 16:34:12,2021-08-30 21:04:12,NA,NA,TRUE,594.7,593.9,573.5,654.1
3,2021-08-30 22:04:12,2021-09-23 00:04:12,NA,NA,TRUE,513.7,510.6,492,630.4
4,2021-09-23 11:04:12,2021-09-23 23:34:12,NA,NA,TRUE,-48,-48,-52.9,-44.7
5,2021-09-24 07:04:12,2021-09-24 11:04:12,NA,NA,TRUE,-15.3,-17.5,-43.9,20.1
6,2021-09-24 18:04:12,2021-09-25 00:04:12,NA,NA,TRUE,-39.8,-39.8,-42.7,-37.3
7,2021-09-25 04:04:12,2021-10-03 21:04:12,NA,NA,TRUE,-3.5,-2.9,-19.1,29.2
8,2021-10-03 22:04:12,2021-10-12 15:04:12,NA,NA,TRUE,-11,-10.9,-29.7,85.6
9,2021-10-12 15:34:12,2021-10-29 16:04:12,NA,NA,TRUE,-22.6,-23.2,-50.3,78.1
10,2021-10-29 17:04:12,2021-11-10 18:04:12,NA,NA,TRUE,-54.6,-54.8,-70,13.8
12,2022-01-28 23:34:12,2022-02-10 23:04:12,NA,NA,TRUE,-43.5,-43.3,-62.3,9.6
13,2022-02-11 00:34:12,2022-03-31 00:34:12,NA,NA,TRUE,-25.5,-25.3,-106.4,33.7
14,2022-03-31 10:04:12,2022-04-06 00:34:12,NA,NA,TRUE,-13.9,-14.4,-43.8,83.4
15,2022-04-06 04:04:12,2022-04-12 00:34:12,NA,NA,TRUE,28.9,25.9,-17.9,183.9
16,2022-04-12 12:34:12,2022-04-13 03:34:12,NA,NA,TRUE,769,772.6,712.5,792.7
17,2022-04-13 06:04:12,2022-05-16 05:04:12,-84.0492,35.43926,TRUE,644.1,643.6,589.1,695.3
