"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,20.7935718985014-2.629058672208i,159.70682888012,2.2454764203447+13.8813771158301i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,36.0961854265469+6.4666489634821i,271.85324381608,-0.2567658214149+17.7029119045695i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,3.57263928052347-4.34002197002757i,49.256795777152,2.5127408273935+15.577305284688i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,8.53686605447938-7.73732047498054i,90.7607259066538,1.7991023789021+13.8379527034899i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,46.2128684892489+12.9171010855287i,351.780666764869,-2.0339017697831+21.723629476226i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,6.5050110700051-10.4825968886007i,96.1022963900395,1.9651853599387+14.6182842130034i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,15.7723372024604-5.3720602739463i,128.399954637757,2.4512850479337+12.3570976092344i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,20.9201775028226-5.4669602018081i,163.54331754316,2.361118840778+13.4668265629801i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,2.2097407385753-13.3436928742007i,105.088511843725,2.8258294939233+16.7074836454424i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
1,2,18.1245503237322+0.1469660219748i,140.770801385159,2.2929821394495+13.9374829532615i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
2,3,18.5619515159041-80.8104953497981i,885.443690858169,14.3187008916504-22.8560007208943i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,-11.0178957582981-76.6815765325209i,828.333327755745,10.9086997484903-31.2493868507615i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,27.6185273946942-72.1497448898223i,826.59828166114,13.6932690819112-31.6528345575736i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,10.8740707925701-59.7071996701404i,653.047023900194,12.4870001599231-37.2941097957803i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,-16.5532793491495-80.8584164988548i,881.343055089352,12.0136148908343-28.8383176810345i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,10.4659462059121-36.4147759993389i,414.723787366685,19.3866526508509-35.4736155291343i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,1.8246046001076-66.1157401042244i,709.919286564081,10.4062124585187-36.5178108348305i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,-7.2345212998265-59.7361307952294i,647.566084106434,10.4191606363335-36.6600729508372i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,18.3054121874263-63.8530053567948i,713.212296801499,9.3624199514905-35.9602879592948i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
2,3,-5.2957203614116-47.0343691945734i,513.232511442566,16.9714378561219-32.4629165760928i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
3,4,-7.9927728844987-32.2168093919515i,250.989824117088,-1.29429795130371-3.40391155842792i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,13.5420123241272-41.7887460651696i,325.712259326702,-4.36679454980963-9.45832619828172i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,2.499351172291-19.4768605479901i,156.389667530873,-7.54844973115629-6.34921408765237i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,-2.598778916147-29.0338835908722i,222.511807266825,-11.108973603287-7.3189489672232i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
