"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,8817,36.65001,-91.19733,2021-06-16 19:27:28,2021-09-23 00:57:28,TRUE,TRUE
2,1,11233,33.5,-88.7,2021-09-23 10:57:28,2021-09-24 00:57:28,TRUE,FALSE
3,1,12293,21.5,-87.7,2021-09-25 07:27:28,2021-09-27 02:27:28,TRUE,FALSE
4,1,13094,21.3,-86.9,2021-09-27 06:27:28,2022-04-11 00:57:28,TRUE,FALSE
5,1,9854,29.3,-90.1,2022-04-11 15:27:28,2022-04-12 02:27:28,TRUE,FALSE
6,1,9439,32.3,-90.5,2022-04-12 06:27:28,2022-04-16 00:57:28,TRUE,FALSE
7,1,9827,34.7,-90.1,2022-04-16 04:57:28,2022-04-17 01:57:28,TRUE,FALSE
8,1,8029,34.3,-91.9,2022-04-17 04:27:28,2022-04-17 05:57:28,TRUE,FALSE
9,1,8028,34.5,-91.9,2022-04-17 06:57:28,2022-04-20 01:57:28,TRUE,FALSE
10,1,8817,36.65001,-91.19733,2022-04-20 07:57:28,2022-05-03 04:57:28,TRUE,TRUE
