"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,8.7424933836474-73.8492602166454i,646.874688959023,-1.55226249208828-3.65084546682291i,2021-10-01 00:07:45,2021-10-01 08:37:45,8.5,1
2,3,-12.8516443874324-34.452982538905i,165.492693782849,-19.7739759831915-1.7807824148031i,2021-10-02 00:07:45,2021-10-02 04:07:45,4,1
3,4,7.4985616977117-25.5511861331701i,138.552210710719,-20.6074594576292+6.5152363480016i,2021-10-02 10:37:45,2021-10-02 15:07:45,4.5,1
4,5,-8.4222962221932-65.8952093239132i,647.53898440847,-30.7054013496635-1.4060143505425i,2021-10-03 00:07:45,2021-10-03 09:37:45,9.5,1
5,6,8.0104629230079-17.2619430469258i,48.8188370754204,-18.0568153456539-8.6190481975088i,2021-10-04 00:07:45,2021-10-04 01:37:45,1.5,1
6,7,-42.4023806045711-15.1259249290555i,65.5482255723949,-19.0112674420366-4.5802360903905i,2021-10-04 10:07:45,2021-10-04 11:07:45,1,1
7,8,4.7850636809393+10.3327247548106i,48.8304300655969,-16.8127643747407-7.4117671741467i,2021-10-05 01:07:45,2021-10-05 03:37:45,2.5,1
8,9,0+64.7407672890126i,664.722582332436,3.1250780488227+33.0141305501452i,2022-04-06 00:37:45,2022-04-06 10:37:45,10,1
9,10,15.8030967090351+55.2417943961152i,276.996526296286,32.751260335808+28.7289370849556i,2022-04-07 00:37:45,2022-04-07 05:07:45,4.5,1
10,11,-19.9908474720722+55.2109627512557i,165.269513506678,-0.7299962602213+32.4095789858225i,2022-04-13 02:37:45,2022-04-13 05:07:45,2.5,1
11,12,1.8063512782051+51.932646829296i,509.866963792466,-3.1132947540482+29.0663728335471i,2022-04-21 01:07:45,2022-04-21 10:37:45,9.5,1
